,state,q_values,importance
124,1110,"[ 0.45818344 -2.4111981  -1.7176815  -1.257098    0.6923826   0.79947513
  0.3568575   0.9610789  -1.7919369 ]",0.16160376999999992
125,1111,"[ 0.4407453  -2.3876128  -1.760305   -1.2675333   0.75900596  0.7310033
  0.42920065  0.9830993  -1.8295279 ]",0.22409334000000003
126,1112,"[ 0.40574294 -2.4381096  -1.7185285  -1.2212737   0.7688066   0.7561745
  0.42651683  0.99862206 -1.7658236 ]",0.22981545999999997
127,1113,"[ 0.323066   -2.261773   -1.738755   -1.2251961   0.8689454   0.58357114
  0.538752    1.1280894  -1.8147063 ]",0.25914399999999993
128,1114,"[ 0.458367   -2.1455922  -1.7226467  -1.2615414   0.91232085  0.1550759
  0.7796106   1.0203936  -1.8437414 ]",0.10807275000000005
129,1115,"[ 0.6829369  -2.2132027  -1.8172989  -1.3982449   0.9336478   0.04895033
  0.7497559   0.8829169  -1.9277327 ]",0.05073090000000002
130,1116,"[ 0.56849533 -2.3357968  -1.7991474  -1.5123014   0.9307071   0.23023254
  0.756117    0.8636641  -2.0088034 ]",0.06704299999999996
131,1117,"[ 0.53303194 -2.2723281  -1.6964724  -1.3723924   0.84726185  0.2266367
  0.7380393   0.91422623 -1.8696678 ]",0.06696438000000005
132,1118,"[ 0.6558996  -2.3329313  -1.7634156  -1.3336208   0.94557375  0.04684433
  1.0262183   0.9377319  -1.8687443 ]",0.08064455000000004
133,1119,"[ 0.7850465 -2.33108   -1.8392403 -1.3934276  1.0031002 -0.0115689
  1.0594695  0.9124254 -1.942802 ]",0.05636930000000007
134,112,"[ 1.5888633  -2.959664   -2.8335626  -2.3600824  -0.00842034  1.7160417
  0.26164493 -1.2712476  -2.4536705 ]",0.1271783999999998
135,1120,"[ 0.4601094  -2.2296164  -1.7019613  -1.3404207   0.9257986   0.28952295
  0.8487587   0.91395885 -1.8761234 ]",0.011839750000000038
136,1121,"[ 0.7053558  -2.131155   -1.7156724  -1.2334142   0.92289394  0.04915357
  1.010956    0.9108014  -1.7628947 ]",0.08806205999999994
137,1122,"[ 0.78257585 -2.1215522  -1.8866448  -1.3172905   1.03005    -0.08548312
  1.2374183   0.844706   -1.9514494 ]",0.20736830000000017
138,1123,"[ 0.8715146  -2.1462944  -1.9745376  -1.357985    1.0853726  -0.22196819
  1.2916102   0.78802603 -2.049514  ]",0.20623760000000013
139,1124,"[ 0.7225789  -1.9505329  -1.7842908  -1.1812093   1.0024276  -0.21433543
  1.2427694   0.68646276 -1.8747967 ]",0.24034179999999994
140,1125,"[ 0.5184375  -1.9007142  -1.7624465  -1.0992057   1.0680367  -0.16279264
  1.2489765   0.7822244  -1.9021369 ]",0.18093979999999998
141,1126,"[ 0.4841943  -2.0026     -1.9647429  -1.2512531   1.1189725  -0.12256874
  1.2275099   0.8192334  -2.128936  ]",0.10853740000000012
142,1127,"[ 0.45673293 -1.8559586  -1.7918246  -1.1596999   1.0049174  -0.0111713
  1.0592496   0.7724522  -1.9426996 ]",0.05433219999999994
143,1128,"[ 0.4762301  -1.9806297  -2.1322212  -1.4632442   1.1794077  -0.04030032
  1.1067983   0.80807626 -2.396519  ]",0.07260940000000016
144,1129,"[ 0.56935304 -2.1639574  -2.2087677  -1.5455852   1.2674841  -0.09672043
  1.2828368   0.8083234  -2.3822289 ]",0.015352700000000219
145,113,"[ 1.358748   -2.9543614  -2.678045   -2.2653043   0.05652802  1.6516802
  0.3815779  -1.1474178  -2.5186074 ]",0.29293219999999986
146,1130,"[ 0.7684146  -2.26707    -2.3928568  -1.752862    1.406971   -0.25443548
  1.3834664   0.79268146 -2.549027  ]",0.023504599999999876
147,1131,"[ 0.7506231  -2.1310215  -2.0659254  -1.4267156   1.2918464  -0.16123281
  1.2673506   0.76523644 -2.143137  ]",0.024495799999999956
148,1132,"[ 0.7787709  -2.3916342  -2.2245107  -1.5465958   1.306403    0.01535921
  1.0971081   0.6110221  -2.3105047 ]",0.20929489999999995
149,1133,"[ 1.0276012  -2.6086082  -2.4038172  -1.7337108   1.4561607   0.01736383
  1.1449481   0.42979914 -2.5085046 ]",0.3112126000000002
150,1134,"[ 0.84312564 -2.1693494  -1.9249516  -1.3689003   1.3002211  -0.04882769
  1.1792496   0.5311538  -2.0008864 ]",0.12097150000000001
151,1135,"[ 0.93157136 -2.1162531  -2.0989344  -1.4845834   1.3367474  -0.18139453
  1.4345137   0.4972897  -2.1892707 ]",0.09776629999999997
152,1136,"[ 0.88795227 -2.1798344  -1.9952279  -1.3734016   1.1470596  -0.00531431
  1.339292    0.6067974  -2.0950053 ]",0.19223239999999997
153,1137,"[ 1.078101   -2.3805406  -2.2539904  -1.655683    1.1506898  -0.16434325
  1.2899479   0.5456722  -2.3938236 ]",0.13925809999999994
154,1138,"[ 1.0862455  -2.4825659  -2.3195832  -1.7481344   1.1313689  -0.06188376
  1.2974235   0.6334673  -2.4215927 ]",0.16605460000000005
155,1139,"[ 0.9335402  -2.4934332  -2.2896402  -1.7185857   1.2574599  -0.04992178
  1.3777404   0.6101186  -2.3821025 ]",0.12028050000000001
156,114,"[ 1.3489985  -2.9845278  -2.6464422  -2.2456174   0.08936012  1.6135609
  0.4049744  -1.1372886  -2.477152  ]",0.2645624
157,1140,"[ 0.98656964 -2.572718   -2.467466   -1.9240513   1.4260517  -0.14720218
  1.4946682   0.56054115 -2.5923862 ]",0.06861650000000008
158,1141,"[ 1.0329399  -2.5412302  -2.514447   -1.9034078   1.375473   -0.10789536
  1.4743463   0.6236603  -2.5949163 ]",0.09887330000000016
159,1142,"[ 1.1471349  -2.7689524  -2.7175817  -2.125251    1.4851131  -0.09674273
  1.42058     0.63913184 -2.849562  ]",0.06453310000000001
160,1143,"[ 1.1963621  -2.904784   -2.8544571  -2.2881646   1.5597287  -0.11205824
  1.4034326   0.6436041  -3.0342634 ]",0.15629610000000005
161,1144,"[ 1.245449   -2.8771303  -3.0732768  -2.4689245   1.6107423  -0.32003218
  1.4547964   0.4945245  -3.2838984 ]",0.15594590000000008
162,1145,"[ 1.3359789  -2.960559   -3.224349   -2.7073846   1.6564339  -0.4938156
  1.2939508   0.36112836 -3.609194  ]",0.32045499999999993
